sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name,WHO_classif
ERR11865296,NODE_5_length_65696_cov_17.842654,gene:vir:1131;gene:proph:162945;gene:proph:162923;gene:proph:163023;gene:proph:183081;gene:vir:3400;gene:proph:162961;gene:proph:162946;gene:proph:162929;gene:vir:3406;gene:vir:3407;gene:proph:183063;gene:proph:162928;gene:proph:183065;gene:proph:184310,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865298,NODE_817_length_4709_cov_12.291139,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865298,NODE_817_length_4709_cov_12.291139,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865298,NODE_147_length_18254_cov_11.336956,gene:proph:163023;gene:proph:183081;gene:proph:183055;gene:proph:162961;gene:proph:162946;gene:proph:162929;gene:vir:3406;gene:proph:183062;gene:proph:183063;gene:proph:162928;gene:proph:183065;gene:proph:184310,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865300,NODE_2_length_164852_cov_20.778340,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865302,NODE_125_length_15826_cov_2.729792,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865302,NODE_2_length_164852_cov_32.423834,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865304,NODE_371_length_6994_cov_1.922528,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865304,NODE_371_length_6994_cov_1.922528,gene:plasmid:139560;gene:plasmid:131185,other,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865305,NODE_244_length_6807_cov_1.805240,gene:plasmid:139560;gene:plasmid:117293,Acetobacter oryzifermentans,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865305,NODE_244_length_6807_cov_1.805240,gene:plasmid:139560;gene:plasmid:117293,other,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,other,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865307,NODE_2_length_164045_cov_24.977824,gene:plasmid:135980;gene:plasmid:135959,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865307,NODE_76_length_20435_cov_2.738280,gene:plasmid:139560;gene:plasmid:117293,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865307,NODE_76_length_20435_cov_2.738280,gene:plasmid:139560;gene:plasmid:117293,Acetobacter oryzifermentans,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865308,NODE_203_length_5382_cov_1.965937,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865308,NODE_331_length_2954_cov_1.169438,gene:plasmid:131185,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865308,NODE_2_length_164852_cov_30.449713,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865310,NODE_402_length_4775_cov_1.873494,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865310,NODE_402_length_4775_cov_1.873494,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865310,NODE_347_length_5849_cov_4.253932,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865310,NODE_2_length_164868_cov_30.231916,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865312,NODE_156_length_2751_cov_0.762957,gene:plasmid:131185,Pseudomonas helleri,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865312,NODE_2_length_164853_cov_28.547491,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865316,NODE_707_length_3994_cov_1.186967,gene:plasmid:139560,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865318,NODE_663_length_4550_cov_8.597558,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865322,NODE_233_length_15139_cov_1.698774,gene:plasmid:123887,Escherichia coli,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865322,NODE_1_length_78408_cov_1.842491,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865322,NODE_799_length_5245_cov_1.707698,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865322,NODE_334_length_11128_cov_1.478684,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865322,NODE_334_length_11128_cov_1.478684,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865324,NODE_20_length_78217_cov_3.312883,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR11865324,NODE_377_length_11107_cov_2.280601,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865324,NODE_377_length_11107_cov_2.280601,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865326,NODE_240_length_15493_cov_2.225303,gene:plasmid:123887,Citrobacter freundii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865326,NODE_13_length_85350_cov_2.824437,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865326,NODE_514_length_5279_cov_1.271157,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865326,NODE_74_length_37582_cov_1.640315,gene:plasmid:85748,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXE,HPCIA
ERR11865326,NODE_74_length_37582_cov_1.640315,gene:plasmid:85748,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXF,HPCIA
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR11865326,NODE_300_length_11199_cov_2.389812,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865326,NODE_300_length_11199_cov_2.389812,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865326,NODE_2_length_123987_cov_30.665703,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865328,NODE_489_length_4262_cov_2.107134,gene:plasmid:10524;gene:plasmid:10528,Acinetobacter lwoffii,Drugs,Aminoglycosides,Aminoglycoside_O-nucleotidyltransferases,ANT3-DPRIME,CIA
ERR11865328,NODE_133_length_8568_cov_0.938277,gene:plasmid:123887,Citrobacter freundii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865328,NODE_263_length_5984_cov_1.051562,gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR11865332,NODE_408_length_8085_cov_1.637095,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865332,NODE_2_length_75982_cov_1.580291,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865332,NODE_113_length_17412_cov_1.174313,gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865332,NODE_113_length_17412_cov_1.174313,gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865334,NODE_226_length_13682_cov_1.377278,gene:plasmid:123887,Escherichia coli,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865334,NODE_12_length_67096_cov_1.621810,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865334,NODE_1397_length_2944_cov_1.181754,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR11865334,NODE_303_length_11150_cov_1.436814,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865334,NODE_303_length_11150_cov_1.436814,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865334,NODE_1_length_165079_cov_30.540442,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865335,NODE_261_length_4915_cov_1.388680,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865335,NODE_2_length_153226_cov_29.093247,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865338,NODE_1527_length_2385_cov_0.668733,gene:plasmid:87053,Enterococcus faecium,Drugs,Phenicol,Chloramphenicol_acetyltransferases,CATA,HIA
ERR11865338,NODE_7_length_79748_cov_22.979905,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865340,NODE_108_length_15192_cov_1.677398,gene:plasmid:123887,Duffyella gerundensis,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865340,NODE_1_length_78276_cov_1.666752,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR11865340,NODE_167_length_11117_cov_1.208371,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR11865340,NODE_167_length_11117_cov_1.208371,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR11865342,NODE_500_length_4379_cov_1.556444,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865342,NODE_500_length_4379_cov_1.556444,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865344,NODE_1_length_889486_cov_19.175962,gene:plasmid:115792;gene:plasmid:120653;gene:plasmid:120658;gene:plasmid:120659;gene:plasmid:155304,Leuconostoc mesenteroides,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA
ERR11865344,NODE_24_length_5339_cov_120.308327,gene:plasmid:131373,Leuconostoc falkenbergense,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865344,NODE_24_length_5339_cov_120.308327,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865346,NODE_723_length_4144_cov_0.773712,gene:plasmid:10528;gene:plasmid:10524,Proteus mirabilis,Drugs,Aminoglycosides,Aminoglycoside_O-nucleotidyltransferases,ANT3-DPRIME,CIA
ERR11865346,NODE_562_length_5339_cov_54.400806,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865346,NODE_562_length_5339_cov_54.400806,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865346,NODE_362_length_7726_cov_1.352941,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR11865346,NODE_122_length_20106_cov_1.255418,gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR11865346,NODE_122_length_20106_cov_1.255418,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR11865346,NODE_122_length_20106_cov_1.255418,gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR11865346,NODE_3_length_152974_cov_17.307981,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865348,NODE_371_length_10167_cov_4.314641,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865348,NODE_371_length_10167_cov_4.314641,gene:plasmid:139560;gene:plasmid:131376,Komagataeibacter piraceti,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865350,NODE_450_length_4538_cov_1.802766,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865350,NODE_77_length_27009_cov_4.859051,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865350,NODE_77_length_27009_cov_4.859051,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865350,NODE_623_length_3190_cov_0.864512,gene:plasmid:16015,other,Drugs,Sulfonamides,Sulfonamide-resistant_dihydropteroate_synthases,SULI,HIA
ERR11865350,NODE_623_length_3190_cov_0.864512,gene:plasmid:16015,other,Drugs,Aminoglycosides,Aminoglycoside_O-nucleotidyltransferases,ANT3-DPRIME,CIA
ERR11865350,NODE_623_length_3190_cov_0.864512,gene:plasmid:16015,other,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_pumps,QACEDELTA1,0
ERR11865350,NODE_550_length_3668_cov_0.780570,gene:proph:176833,Acinetobacter sp. CE-15,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA
ERR11865352,NODE_59_length_19909_cov_2.236326,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865352,NODE_59_length_19909_cov_2.236326,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865352,NODE_43_length_26711_cov_2.345659,gene:proph:176833,Acinetobacter johnsonii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA
ERR11865352,NODE_43_length_26711_cov_2.345659,gene:proph:176833,Acinetobacter sp. CE-15,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
