sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name,WHO_classif,coverage,count,mean_length,rpkm
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,2.705166,2457326,148.27411218535920752883,7.42448
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,2.705166,2457326,148.27411218535920752883,7.42448
ERR11865326,NODE_300_length_11199_cov_2.389812,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,2.389812,2457326,148.27411218535920752883,6.55897
ERR11865326,NODE_300_length_11199_cov_2.389812,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,2.389812,2457326,148.27411218535920752883,6.55897
ERR11865326,NODE_2_length_123987_cov_30.665703,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,30.665703,2457326,148.27411218535920752883,84.1637
ERR11865328,NODE_489_length_4262_cov_2.107134,gene:plasmid:10524;gene:plasmid:10528,Acinetobacter lwoffii,Drugs,Aminoglycosides,Aminoglycoside_O-nucleotidyltransferases,ANT3-DPRIME,CIA,2.107134,535869,148.19435906910084367634,26.5339
ERR11865328,NODE_133_length_8568_cov_0.938277,gene:plasmid:123887,Citrobacter freundii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,0.938277,535869,148.19435906910084367634,11.8152
ERR11865328,NODE_263_length_5984_cov_1.051562,gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,1.051562,535869,148.19435906910084367634,13.2417
ERR11865332,NODE_408_length_8085_cov_1.637095,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,1.637095,790544,147.96498993098423364164,13.9955
ERR11865332,NODE_2_length_75982_cov_1.580291,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,1.580291,790544,147.96498993098423364164,13.5099
ERR11865332,NODE_113_length_17412_cov_1.174313,gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,1.174313,790544,147.96498993098423364164,10.0392
ERR11865332,NODE_113_length_17412_cov_1.174313,gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,1.174313,790544,147.96498993098423364164,10.0392
ERR11865334,NODE_226_length_13682_cov_1.377278,gene:plasmid:123887,Escherichia coli,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,1.377278,2341531,148.44138300966333565517,3.96248
ERR11865334,NODE_12_length_67096_cov_1.621810,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,1.621810,2341531,148.44138300966333565517,4.666
ERR11865334,NODE_1397_length_2944_cov_1.181754,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,1.181754,2341531,148.44138300966333565517,3.39995
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,1.599231,2341531,148.44138300966333565517,4.60104
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,1.599231,2341531,148.44138300966333565517,4.60104
ERR11865334,NODE_7_length_79412_cov_1.599231,gene:plasmid:89528;gene:plasmid:125744,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,1.599231,2341531,148.44138300966333565517,4.60104
ERR11865334,NODE_303_length_11150_cov_1.436814,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,1.436814,2341531,148.44138300966333565517,4.13376
ERR11865334,NODE_303_length_11150_cov_1.436814,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,1.436814,2341531,148.44138300966333565517,4.13376
ERR11865334,NODE_1_length_165079_cov_30.540442,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,30.540442,2341531,148.44138300966333565517,87.8659
ERR11865335,NODE_261_length_4915_cov_1.388680,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.388680,1901267,148.50446044663900441126,4.91835
ERR11865335,NODE_2_length_153226_cov_29.093247,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,29.093247,1901267,148.50446044663900441126,103.041
ERR11865338,NODE_1527_length_2385_cov_0.668733,gene:plasmid:87053,Enterococcus faecium,Drugs,Phenicol,Chloramphenicol_acetyltransferases,CATA,HIA,0.668733,1778425,147.50021395335760574665,2.54932
ERR11865338,NODE_7_length_79748_cov_22.979905,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,22.979905,1778425,147.50021395335760574665,87.6032
ERR11865340,NODE_108_length_15192_cov_1.677398,gene:plasmid:123887,Duffyella gerundensis,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,1.677398,624719,148.57405489508082834042,18.0721
ERR11865340,NODE_1_length_78276_cov_1.666752,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,1.666752,624719,148.57405489508082834042,17.9574
ERR11865340,NODE_167_length_11117_cov_1.208371,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,1.208371,624719,148.57405489508082834042,13.0188
ERR11865340,NODE_167_length_11117_cov_1.208371,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,1.208371,624719,148.57405489508082834042,13.0188
ERR11865342,NODE_500_length_4379_cov_1.556444,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.556444,2363775,148.60382904464257384903,4.43096
