sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name
SRR8282406,NODE_849_length_5606_cov_9129.129499,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
SRR8282406,NODE_849_length_5606_cov_9129.129499,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783788,NODE_611_length_5592_cov_72.721317,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783788,NODE_611_length_5592_cov_72.721317,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783399,NODE_496_length_5592_cov_132.608783,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783399,NODE_496_length_5592_cov_132.608783,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865379,NODE_391_length_5648_cov_18.712733,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865379,NODE_391_length_5648_cov_18.712733,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865389,NODE_152_length_9156_cov_3.603278,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865389,NODE_152_length_9156_cov_3.603278,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783795,NODE_280_length_5592_cov_31.136871,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783795,NODE_280_length_5592_cov_31.136871,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783442,NODE_18_length_14397_cov_2.576454,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783442,NODE_18_length_14397_cov_2.576454,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865463,NODE_1013_length_3538_cov_11.781589,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783434,NODE_254_length_5592_cov_8.591583,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783434,NODE_254_length_5592_cov_8.591583,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783418,NODE_1123_length_4277_cov_168.113012,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865350,NODE_77_length_27009_cov_4.859051,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865350,NODE_77_length_27009_cov_4.859051,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865391,NODE_459_length_5592_cov_11.909058,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865391,NODE_459_length_5592_cov_11.909058,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865457,NODE_650_length_3122_cov_26.705509,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865457,NODE_656_length_3014_cov_25.335296,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783429,NODE_240_length_5592_cov_9.815919,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783429,NODE_240_length_5592_cov_9.815919,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783502,NODE_179_length_4038_cov_1.675786,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783402,NODE_1770_length_4277_cov_50.719277,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865296,NODE_226_length_6615_cov_2.165228,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865296,NODE_226_length_6615_cov_2.165228,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865461,NODE_271_length_7079_cov_1.703826,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865461,NODE_271_length_7079_cov_1.703826,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783440,NODE_526_length_5592_cov_24.298262,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783440,NODE_526_length_5592_cov_24.298262,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783425,NODE_13_length_354117_cov_81.174533,gene:plasmid:139560;gene:plasmid:131185;gene:plasmid:85663,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783425,NODE_13_length_354117_cov_81.174533,gene:plasmid:139560;gene:plasmid:131185;gene:plasmid:85663,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865487,NODE_550_length_5592_cov_33.228362,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865487,NODE_550_length_5592_cov_33.228362,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865451,NODE_448_length_5592_cov_24.825984,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865451,NODE_448_length_5592_cov_24.825984,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783466,NODE_1825_length_4981_cov_191.803461,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783466,NODE_1825_length_4981_cov_191.803461,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783503,NODE_565_length_5592_cov_47.542360,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783503,NODE_565_length_5592_cov_47.542360,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783539,NODE_376_length_5951_cov_2.414148,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783539,NODE_376_length_5951_cov_2.414148,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783541,NODE_148_length_7494_cov_2.434234,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783541,NODE_148_length_7494_cov_2.434234,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783424,NODE_463_length_5592_cov_4.501738,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783424,NODE_463_length_5592_cov_4.501738,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865405,NODE_245_length_7691_cov_2.237441,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865405,NODE_245_length_7691_cov_2.237441,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865360,NODE_429_length_5592_cov_13.092406,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865360,NODE_429_length_5592_cov_13.092406,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865509,NODE_706_length_5592_cov_11.436962,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865509,NODE_706_length_5592_cov_11.436962,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865316,NODE_707_length_3994_cov_1.186967,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783494,NODE_735_length_4277_cov_155.724819,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783401,NODE_193_length_5672_cov_1.972227,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783401,NODE_193_length_5672_cov_1.972227,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865407,NODE_313_length_6563_cov_4.098664,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865407,NODE_313_length_6563_cov_4.098664,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783426,NODE_380_length_5592_cov_50.748399,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783426,NODE_380_length_5592_cov_50.748399,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865511,NODE_603_length_5656_cov_9.478568,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865511,NODE_603_length_5656_cov_9.478568,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783794,NODE_902_length_5592_cov_58.982434,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783794,NODE_902_length_5592_cov_58.982434,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865483,NODE_288_length_5612_cov_14.456153,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865483,NODE_288_length_5612_cov_14.456153,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783793,NODE_211_length_5592_cov_44.525709,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783793,NODE_211_length_5592_cov_44.525709,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783459,NODE_2188_length_5592_cov_22.623422,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783459,NODE_2188_length_5592_cov_22.623422,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
SRR13801804,NODE_765_length_3998_cov_5.983515,gene:plasmid:139560;gene:plasmid:117293,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783495,NODE_5_length_34843_cov_2.158457,gene:plasmid:139560;gene:plasmid:131185,Acetobacter okinawensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783495,NODE_5_length_34843_cov_2.158457,gene:plasmid:139560;gene:plasmid:131185,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865485,NODE_86_length_6827_cov_2.610448,gene:plasmid:139560;gene:plasmid:131376,Acetobacter okinawensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865485,NODE_86_length_6827_cov_2.610448,gene:plasmid:139560;gene:plasmid:131376,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783456,NODE_171_length_3631_cov_2.057648,gene:plasmid:139560,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865308,NODE_331_length_2954_cov_1.169438,gene:plasmid:131185,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865481,NODE_268_length_7174_cov_4.469562,gene:plasmid:139560;gene:plasmid:131376,Acetobacter okinawensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865481,NODE_268_length_7174_cov_4.469562,gene:plasmid:139560;gene:plasmid:131376,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783501,NODE_660_length_4888_cov_41.392565,gene:plasmid:139560;gene:plasmid:131185,Acetobacter okinawensis,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S
ERR11865449,NODE_209_length_5156_cov_2.129250,gene:plasmid:139560,Acetobacter okinawensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865362,NODE_646_length_3877_cov_56.351200,gene:plasmid:139560,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783475,NODE_270_length_4844_cov_5.093704,gene:plasmid:131371;gene:plasmid:139560,Acetobacter okinawensis,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S
ERR14783493,NODE_2890_length_4277_cov_448.560964,gene:plasmid:139560,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865455,NODE_513_length_4550_cov_38.778431,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783411,NODE_1455_length_5038_cov_18.198738,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783411,NODE_1455_length_5038_cov_18.198738,gene:plasmid:139560,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783511,NODE_800_length_5648_cov_61.872306,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783511,NODE_800_length_5648_cov_61.872306,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783416,NODE_749_length_3593_cov_124.202827,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783802,NODE_233_length_5779_cov_5.094657,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783802,NODE_233_length_5779_cov_5.094657,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865475,NODE_639_length_3959_cov_15.030271,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865463,NODE_892_length_3959_cov_17.699374,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865403,NODE_245_length_5648_cov_18.463141,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865403,NODE_245_length_5648_cov_18.463141,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865508,NODE_325_length_6938_cov_9.640435,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865508,NODE_325_length_6938_cov_9.640435,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865435,NODE_1119_length_2716_cov_6.251062,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865491,NODE_98_length_10752_cov_3.568753,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865491,NODE_98_length_10752_cov_3.568753,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783409,NODE_1518_length_4339_cov_22.561016,gene:plasmid:131371;gene:plasmid:139560,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783509,NODE_200_length_5986_cov_2.260283,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783509,NODE_200_length_5986_cov_2.260283,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783439,NODE_1686_length_3538_cov_26.089123,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865447,NODE_291_length_5452_cov_163.211643,gene:plasmid:139560;gene:plasmid:117293,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865447,NODE_291_length_5452_cov_163.211643,gene:plasmid:139560;gene:plasmid:117293,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865302,NODE_125_length_15826_cov_2.729792,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S
ERR11865560,NODE_168_length_5648_cov_9.557870,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865560,NODE_168_length_5648_cov_9.557870,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783408,NODE_1572_length_4848_cov_2.032620,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865318,NODE_663_length_4550_cov_8.597558,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783519,NODE_15_length_113354_cov_2.718777,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783519,NODE_15_length_113354_cov_2.718777,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
